program_administrator,fuel_type_funding_source,portfolio,primary_end_use_sector,program_name,nys_clean_heat,new_efficiency_new_york,lmi_market_rate,active_inactive,year,reporting_period,expenditures,reductions,participants
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2024,2024 Q3,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2024,2024 Q4,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2025,2025 Q1,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2025,2025 Q2,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2025,2025 Q3,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2025,2025 Q4,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2026,2026 Q1,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2026,2026 Q2,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2026,2026 Q3,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2026,2026 Q4,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2027,2027 Q1,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2027,2027 Q2,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2027,2027 Q3,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2027,2027 Q4,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2028,2028 Q1,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2028,2028 Q2,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2028,2028 Q3,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2028,2028 Q4,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2029,2029 Q1,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2029,2029 Q2,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2029,2029 Q3,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2029,2029 Q4,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2030,2030 Q1,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2030,2030 Q2,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2030,2030 Q3,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Practices,No,Yes,Market Rate,Active,2030,2030 Q4,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Technology,No,Yes,Market Rate,Active,2015,2015 Q1,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Technology,No,Yes,Market Rate,Active,2015,2015 Q2,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Technology,No,Yes,Market Rate,Active,2015,2015 Q3,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Technology,No,Yes,Market Rate,Active,2015,2015 Q4,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Energy Management Technology,No,Yes,Market Rate,Active,2016,2016 Q1,0,0,0
